текст;категория;;;;;;;;;
Ответ: Статью к публикации Статья 1.0.pdf Вероника Викторовна, добрый день. К сожалению, мы не успели отправить Вам статью до конца февраля, сообщите, пожалуйста, сможем ли мы опубликовать статью в апрельском номере. . Будем очень признательны, если появится такая возможность. Мы готовы немедленно рассмотреть любые возможные замечания. На всякий случай в прикрепленном файле есть статья для рассмотрения. Спасибо, С уважением Рубен Агаджанян 20180209 18:04 GMT+04:00 Вестник ВГУ <csit@cs.vsu.ru: Уважаемый автор! Рецензирование 12018 статей, опубликованных в апреле, осуществляется до конца февраля. Пришлите нам материалы вашей статьи и мы ее рассмотрим (бумажный вариант не требуется). Генеральный секретарь журнала Гаршина Вероника Викторовна Среда, 7 февраля 2018 14:43:01 +0400 Рубен Агаджанян <ruboo1993@gmail.com написал: Уважаемая редакция, я учусь в аспирантуре Ереванского государственного университета (факультет информатики и прикладных технологий) . Математика). Я хочу опубликовать свою научную статью в журнале «Вестник Воронежского государственного университета». Сообщите, пожалуйста, когда ожидается следующая публикация, где можно будет опубликовать мою статью с учетом времени просмотра и рецензирования. Спасибо. С уважением, письмо Рубена Агаджаняна. почта: Ruboo1993@gmail.com моб.: +37477 590071 <+374%2077%20590071 0065, 2а/7, ул. Р. Меликян, г. Ереван, РА;Вопросы;;;;;;;;;
Статья к публикации Naimushina_statia.doc Здравствуйте, уважаемая редакция научного журнала «Вестник Воронежского государственного университета». Серия: Системный анализ и информационные технологии»! Просим рассмотреть нашу статью для публикации в вашем журнале. С уважением, Л.Н. Бакановская.;подача статьи;;;;;;;;;
Статья_Гутова_16.03.2018 Анализ в Excel_Гутова.docx, Инвентаризация_Гутова.docx Доброго времени суток, уважаемая редакция журнала! Текст и пояснения прилагаются. Пожалуйста, проверьте его на соответствие требованиям к дизайну и отправьте на рассмотрение. Спасибо! С уважением, Карина Гутова, мафия. тел.: +7(921) 563 43 20.;подача статьи;;;;;;;;;
 РП С уважением, Копытин А.В. Сообщение переправлено От: Алексей Копытин <alexkopytin@gmail.com Дата: 16 марта 2018, 15:51 Тема: Ответ: РП Кому: Ольга Донина <olgadonina@mail.ru Спасибо! С уважением, Копытин А.В. 20180316 13:45 GMT+03:00 Ольга Донина <olgadonina@mail.ru: С уважением / Mit freundlichen Gr??en Ольга Донина / Ольга Донина;другой;;;;;;;;;
РП Гаршина.zip Здравствуйте, Вероника! Посылаю вам ваши старые рабочие программы для Русского географического фонда. С уважением, Копытин А.В.;другой;;;;;;;;;
Ответ: +Таратухин Значит что-то в голове забыли. Может быть, был кто-то еще? С уважением, Сирота А. 17.03.2018 22:54, Вестник ВГУ пишет: Генеральный директор Европейского исследовательского центра информационных систем (ERCIS) Вестфальского университета имени Вильгельма;другой;;;;;;;;;
Ответ: +Таратухин Если у нас нет основного рабочего места, то это возможно у Семенова. С уважением, Сирота А. Отправлено со смартфона Samsung Galaxy. Первое сообщение От: Вестник ВГУ <csit@cs.vsu.ru Дата: 17.03.18 22:54 (GMT+03:00) Кому: shashkin@amm.vsu.ru, algazinov@sc.vsu.ru, сэр @cs .vsu.ru Тема: +Таратухин Я совсем забыл, что разрешение от ВВ мы получили в декабре. Таратухин. при включении в редколлегию 6) Таратухин Виктор Владимирович Профессор, доктор философских наук, кандидат технических наук, директор по глобальному сотрудничеству академической инициативы компании SAP NextGen Представитель компании в Стэнфордском университете Стэнфордский университет, США, генеральный директор Европейского исследовательского центра по информационным системам (ERCIS), Вестфальский университет Вильгельма (Мюнстер, Германия). РИНЦ hirsch=4 С уважением, Гаршина В.В.;другой;;;;;;;;;
Задорожный с кошачьими корнями ЗадорожныйУсл.docx, рис. 1.jpg Посылаю свою статью в Вестник. С уважением, профессор Задорожный В.В.;подача статьи;;;;;;;;;
Публикация статьи Здравствуйте, уважаемая редакция журнала «Вестник ВГУ». Я хочу опубликовать свою статью в вашем журнале. Но я не совсем понимаю, судя по информации на сайте, вы принимаете статьи в электронном виде или только в печатном виде? С уважением, Минханов Р.Ф.,;Вопросы;;;;;;;;;
Без темы Посылаю Вам статью Литвинова Д.А. «Нахождение минимального ограничения для непрерывной функции управления».;подача статьи;;;;;;;;;
Статья_Гутова_16.03.2018 Анализ в Excel_Гутова.docx, Инвентаризация_Гутова.docx Добрый день! Пожалуйста, проигнорируйте эту статью, поскольку она была перенесена в другой пост из-за отсутствия ответа. Спасибо! Пересланное сообщение От: Карина Гутова <karina3397@mail.ru Кому: csit@cs.vsu.ru Дата: Пятница, 16 марта 2018 г., 11:16 +03:00 Тема: Статья_Гутова_16.03.2018 Добрый день, уважаемая редакция журнала! Текст и пояснения прилагаются. Пожалуйста, проверьте его на соответствие требованиям к дизайну и отправьте на рассмотрение. Спасибо! С уважением, Карина Гутова, мафия. тел.: +7(921) 563 43 20. Спасибо! С уважением, Карина Гутова, мафия. тел.: +7(921) 563 43 20.;отклоненный;;;;;;;;;
Прошу дорогая Вероника Викторовна, доброго дня! Хотелось бы узнать судьбу статьи «СОВЕРШЕНСТВОВАНИЕ ПРОЦЕССА УПРАВЛЕНИЯ КАЧЕСТВОМ ПРОДУКЦИИ НА ПРЕДПРИЯТИИ С ИСПОЛЬЗОВАНИЕМ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ (Медведитков С.И.1, Кузьминов В.В.2, Савончик Д.А3) С.И. 08.01.2018, 15:45:59. Сергей Иванович Медведитков (medsim@rambler.ru) написал: Дорогая Вероника Викторовна, доброго времени суток! С Новым годом и Рождеством. Я хочу знать судьбу моей статьи. Его отправили на оценку, но прошло 2 месяца, а информации не поступило. 05.10.2017, 14:09:30 Пользователь Вестника ВГУ (csit@cs.vsu.ru) написал: Уважаемый автор! Серия бюллетеней ВГУ «Системный анализ и информационные технологии» выходит 4 раза в год. Все статьи подлежат рецензированию, результаты принимаются к публикации, направляются на доработку (с возможностью повторного рецензирования) или отклоняются. В настоящее время к оценке приняты статьи под номерами 42017 и 12018. Правила и условия публикации для авторов. сайт журнала http://www.vestnik.vsu.ru/content/analiz/index_ru.asp Материалы для публикации должны включать: 1) УДК 2) название статьи (русский + английский) 3) текст статьи объемом 12 страниц, 14 Времена, диапазон 1,5, формулы маттипа, рисунки копируются в отдельные файлы формата jpeg 4) Статья должна быть структурирована по разделам (описание проблемы,..., результаты или заключение) 5) Список использованной литературы (оформлен по библиографическому принципу). правила) 6) аннотация статьи (русский + английский) 7) Информация об авторах (русский + английский) 8) Проверка экспертного мнения о возможности публикации материала (от вашей организации) 9) Публикуем аспирантов и магистров на совместное авторство с научными руководителями. Генеральный секретарь журнала Гаршина Вероника Викторовна Чт, 5 окт 2017 15:03:15 +0300 Медведитков Сергей Иванович <medsim@rambler.ru написал: Уважаемая редакция, доброго дня! Прошу выслать мне требования к статьям. Спасибо вам с этого момента. .;Вопросы;;;;;;;;;
RE: Информация о САИТ для ВАК Информация о члене редколлегии - Махортове С.Д. new.docx Уважаемая Вероника Викторовна! Недавно я получил еще одну публикацию в Scopus. Передаю исправленные сведения о члене редколлегии. С уважением, С.Д. Первое сообщение От: Вестник ВГУ [mailto:csit@cs.vsu.ru] Отправлено: Пятница, 23 марта 2018 г., 17:50 Кому: sd@expert.vrn.ru Тема: Информация о САИТ для высших учебных заведений Аттестационная комиссия Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (перечень ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться Высшей аттестационной комиссией. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;подача статьи;;;;;;;;;
RE: Информация о САИТ для ВАК Информация о члене редколлегии - Махортове SDdocx Прикреплено... С уважением, С.Д. Первое сообщение От: Вестник ВГУ [mailto:csit@cs.vsu.ru] Дата публикации: Пятница , 23 марта 2018 17:50 Кому: sd@expert.vrn.ru Тема: Информация о Высшей аттестационной комиссии САИТ Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (перечень ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться Высшей аттестационной комиссией. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;подача статьи;;;;;;;;;
Ответ: Информация о ВАК САИТ Информация о члене редколлегии - Сирота AAdocx С уважением, Сирота А. 23.03.2018 17:36, Вестник ВГУ пишет: Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (список ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;другой;;;;;;;;;
Ответ: Информация о ВАК САИТ http://www.spiiras.nw.ru/ru/stuff/sokolovborisvladimirovich.html С уважением, Сирота А. 23.03.2018 23:32, Вестник ВГУ пишет: Спасибо! Александр Анатольевич, вы ответили первым! В тексте, уважаемый (я переписал письмо Леденевой:))) Вы уверены, что не состоите в редколлегиях других журналов? 1) Член редколлегии раздела «Информационный конфликт в спектре электромагнитных волн» журнала «Радиотехника» https://www.vsu.ru/ru/persons/?person=4652 2) Научный вестник БелГУ http://nv.bsu.edu. ru/nv/mag/02/editorialboard/ Пятница, 23 марта 2018 19:47:38 +0300 Александр Сирота <sir@cs.vsu.ru написал: С уважением, Сирота А. 23.03.2018 17:36, пишет Вестник ВГУ: Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (перечень ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться Высшей аттестационной комиссией. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;другой;;;;;;;;;
"Статьи Здравствуйте. 12 марта 2018 года XVIII. Направил Вам статьи, рекомендованные к публикации в журнале ""Вестник ВГУ"" по итогам работы секции ""САПР и цифровые технологии"" Международной конференции ""Информатика: проблемы, методология, технологии"". Вы купили материалы? Требуются ли другие документы для публикации? С уважением, Гусев Павел.";подача статьи;;;;;;;;;
Статья_Шубина_Васева Авторы_информация.docx, Чертежи_Шубина_Васева.rar, Статья_Шубина_Васева.docx Добрый день. Нет новостей о возможности публикации статьи? Пересылаемое сообщение От: Васева Елена <esvaseva@mail.ru Кому: csit@cs.vsu.ru Дата: Суббота, 17 февраля 2018 г., 21:11 +05:00 Тема: статья_Шубина_Васева Здравствуйте. Посылаю Вам статью и информацию о ее авторах. Буду признателен, если Вы предоставите информацию о получении файлов и возможности их публикации. С уважением, Е.С. Васева. С уважением, Е.С. Васева.;Вопросы;;;;;;;;;
FW: Статья в Вестнике ВГУ, Список предоставленных файлов.doc, Рисунок 1. Структурный граф соседней модели процесса производства холоднокатаной стали.jpg, Рисунок 2. Относительные ошибки моделирования для явных неиерархических соседних моделей.jpg , Рисунок 3. Относительное моделирование нечетких иерархических моделей error.jpg, Sedykh_Article.doc Вероника! Это статья из Липецка. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru оригинальное сообщение ниже;подача статьи;;;;;;;;;
Ответ[2]: Статья в Вестнике ВГУ Добрый день! Мы отправили вам статью, хотелось бы узнать, получили ли вы ее? С уважением, Екатерина Суббота, 10 марта 2018 г., 18:20 +03:00 От Екатерины Полицыной <kathrin.beaver@mail.ru: Добрый день! По итогам конференции мы представляем расширенную версию статьи для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;Вопросы;;;;;;;;;
Ответ[3]: Статья в Вестнике ВГУ Добрый день! Мы отправили вам статью, хотелось бы узнать, получили ли вы ее? С уважением, Екатерина Суббота, 10 марта 2018 г., 18:20 +03:00 От Екатерины Полицыной <kathrin.beaver@mail.ru: Добрый день! По итогам конференции мы представляем расширенную версию статьи для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;Вопросы;;;;;;;;;
