текст;категория
Тема: Статья в Вестнике ВГУ Полицын С.А., Полицына Е.В. ПРИМЕНЕНИЕ ТЕКСТОВОГО ТЕЛА ДЛЯ АВТОМАТИЧЕСКОЙ КЛАССИФИКАЦИИ В КОМПЛЕКСЕ СРЕДСТВ АВТОМАТИЗИРОВАННОГО АНАЛИЗА ТЕКСТА.zip Добрый день! Расширенную версию статьи по итогам конференции мы представляем для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;презентация статьи
 Статьи Вестник-ВСУ-Троценко.zip, Гусев_Скрипченко_Школьникова.rar, Заключение раздела САО.pdf, Обзор_Гусев.pdf, Обзор_Паринов.pdf, Обзор_Троценко.pdf, Yurov_terminal.rar Здравствуйте! Направляю Вам рекомендуемые статьи для публикации в журнале «Вестник ВГУ» по итогам работы секции «САПР и цифровые технологии» XVIII Международной конференции «Информатика: проблемы, методология, технологии». К письму прилагается архив со статьями, обзорами и заключением раздела. С уважением, Гусев Павел.;презентация статьи
статья для SAIT: Анализ влияния постоянных управляющих воздействий... 51.pdf,Bilченко_GGjr_NG_10__SAIT__description_of_files.rtf,Bilченко_GGjr_NG_10_Figures_TIFF.zip,Bilченко_GGjr_NG_10_Figures_PNG.zip,Bilченко_GGjr_NG_10_Figures_EPS_ConvPDF.zip Cor С уважением, Декан факультета доктора физико-математических наук ПММ ВГУ, профессор Шашкин Александр Иванович т.н. 8(473)2208322 dean@amm.vsu.ru следить за исходным сообщением;презентация статьи
Нет темы Здравствуйте! Вам пишет Дмитрий Литвинов, аспирант математического факультета Воронежского государственного университета! Свою статью я подам в журнал «Вестник ВГУ. Серия: Анализ компьютерных систем и технологий». В связи с этим у меня несколько вопросов: 1) Принимаете ли вы документы аспирантов? 2) Какие документы и другие материалы я должен предоставить издателю вместе со статьей? 3) Можно ли предоставить электронную версию статьи в формате tex? 4) Сколько времени занимает процесс рецензирования журнала? Заранее спасибо!;Запросы
Тема: Статья к публикации Статья 1.0.pdf Вероника Викторовна, добрый день К сожалению, мы не успели отправить Вам статью до конца февраля, сообщите, пожалуйста, успеем ли мы еще опубликовать ее в апрельском номере, Мы будем очень признательны, если Вам представится такая возможность, мы готовы оперативно принять во внимание любые возможные замечания. На всякий случай в прикрепленном файле есть статья к рассмотрению. Спасибо, с уважением Рубен Агаджанян 20180209 18:04 GMT+04:00 Вестник ВГУ <csit@cs.vsu.ru: Уважаемый автор! Рецензирование 12 018 статей (опубликованных в апреле) продолжается до конца февраля. Присылайте нам материалы вашей статьи и мы их рассмотрим (бумажный экземпляр не требуется). ответственный секретарь журнала Гаршина Вероника Викторовна Среда, 7 февраля 2018 г. 14:43:01 +0400 Рубен Агаджанян <ruboo1993@gmail.com написал: Уважаемая редакция, я учусь в аспирантуре ЕГУ (факультет компьютерных наук и Математика прикладная). Я хотел бы опубликовать свою научную статью в журнале «Вестник Воронежского государственного университета». Пожалуйста, сообщите мне ближайшую предполагаемую дату публикации моей статьи с учетом времени просмотра и редактирования. Спасибо, с уважением, Рубен Агаджанян эл. почта: rubo1993@gmail.com моб. : +37477 590071 <+374%2077%20590071 0065, 2/7, ул. Р. Меликян, г. Ереван, РА;Запросы
 Статья для публикации Naimushina_statia.doc Здравствуйте, уважаемая редакция научного журнала «Вестник Воронежского государственного университета. Серия: Системный анализ и информатика»! Приглашаем Вас рассмотреть нашу статью для публикации в Вашем журнале. С уважением, Л.Н. Бакановская.;презентация статьи
Статья_Гутова_16.03.2018 Анализ в Excel_Гутова.docx, Инвентаризация_Гутова.docx Здравствуйте, уважаемая редакция журнала! Прилагаю товар и описание. Пожалуйста, проверьте соответствие проектным требованиям и разрешите проверку. Спасибо! С уважением, Карина Гутова, публика. тел.: +7(921) 563 43 20.;презентация статьи
 РП С уважением, Копытин А.В. Сообщение переправлено От: Алексей Копытин <alexkopytin@gmail.com Дата: 16 марта 2018, 15:51 Тема: Re: РП Кому: Ольга Донина <olgadonina@mail.ru Спасибо! С уважением, Копытин А.В. 20180316 13:45 GMT+03:00 Ольга Донина <olgadonina@mail.ru: С уважением / С уважением / Mit freundlichen Gr??en Ольга Донина / Ольга Донина;другой
 РП Гаршина.zip Привет, Вероника! Посылаю вам ваши старые рабочие программы для Русского географического фонда. С уважением, Копытин А.В.;другой
Re: +Таратухин Так у меня в голове что-то забыли. Может быть, был кто-то еще? С уважением, А. Сирота 17.03.2018 22:54, пишет Вестник ВГУ: Генеральный директор Европейского исследовательского центра информационных систем (ERCIS) Вестфальского университета имени Вильгельма;другой
Тема: +Таратухин Можно и Семенову, если его основное место работы не у нас. С уважением, Сирота А.Отправлено со смартфона Samsung Galaxy. Первоначальное сообщение от: Вестник ВГУ <csit@cs.vsu.ru Дата: 17.03.18 22:54 (GMT+03:00) Кому: shashkin@amm.vsu.ru, algazinov@sc.vsu.ru, сэр @cs .vsu.ru Тема: +Таратухин Совсем забыл, что в декабре мы получили согласие от В.В. Таратухина. о включении в состав редколлегии 6) Таратухин Виктор Владимирович Профессор, доктор философских наук, кандидат технических наук, директор по глобальному сотрудничеству академической инициативы NextGen компании SAP Корпоративный представитель в Стэнфордском университете в Стэнфорде, США, генеральный директор Европейский исследовательский центр информационных систем (ERCIS) Вестфальского университета Вильгельма (Мюнстер, Германия). РИНЦ hirsch=4 С уважением, Гаршина В.В.;другой
Задорожный ЗадорожныйУсл с кошачьими корнями.docx,рис. 1.jpg Отправляю свою статью в Вестник. С уважением, профессор Задорожный В.В.;презентация статьи
 Публикация статьи Здравствуйте, уважаемая редакция журнала «Вестник ВГУ». Я хотел бы опубликовать свою статью в вашем журнале. Но я не совсем понимаю, судя по информации на сайте, вы принимаете статьи в электронном формате или только в бумажном? С уважением, Минханов Р.Ф.,;Запросы
Объектов нет Посылаю Вам статью Литвинова Д.А. «Поиск минимального ограничения для непрерывной функции управления».;презентация статьи
Артиколо_Гутова_16.03.2018 Анализ в Excel_Гутова.docx, Инвентаризация_Гутова.docx Добрый день! Пожалуйста, проигнорируйте статью, поскольку она была перенесена в другую публикацию из-за отсутствия ответа. Спасибо! Пересланное сообщение От: Карина Гутова <karina3397@mail.ru Кому: csit@cs.vsu.ru Дата: Пятница, 16 марта 2018 г., 11:16 +03:00 Тема: Статья_Гутова_16.03.2018 Здравствуйте, уважаемая редакция журнала журнал! Прилагаю товар и описание. Пожалуйста, проверьте соответствие проектным требованиям и разрешите проверку. Спасибо! С уважением, Карина Гутова, публика. тел.: +7(921) 563 43 20. Спасибо! С уважением, Карина Гутова, публика. тел.: +7(921) 563 43 20.;отклоненный
Просьба Уважаемая Вероника Викторовна, добрый день! Хотелось бы узнать судьбу статьи: «УЛУЧШЕНИЕ ПРОЦЕССА УПРАВЛЕНИЯ КАЧЕСТВОМ ПРОДУКЦИИ В ПРЕДПРИЯТИИ С ИСПОЛЬЗОВАНИЕМ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ (Медведитков С.И., Кузьминов В.В.2, Савончик Д.А.3) ДА 08.01.2018, 15:45:59 пользователь Сергей Иванович Медведитков ( medsim@rambler.ru) написал: Уважаемая Вероника Викторовна, добрый день и счастливого Вам Рождества, хотелось бы узнать судьбу моей статьи, отправленной на рецензирование, но уже прошло 2 месяца. и никакой информации получено не было. 05.10.2017, 14:09:30 Пользователь Вестник ВГУ (csit@cs.vsu.ru) написал: Уважаемый автор! Серия «Вестник ВГУ» по системному анализу и информатике выходит 4 раза в год. рецензируются, по результатам которого принимаются к публикации, направляются на рецензирование (с возможностью повторного рецензирования) или отклоняются. В настоящее время принимаются статьи на рецензирование за номера 42017 и 12018. Правила для авторов и условия публикации на . сайт журнала http://www.vestnik.vsu.ru/content/analiz/index_ru.asp Материалы для публикации должны содержать 1) УДК 2) название статьи (русский + английский) 3) текст статьи объемом 12 страниц, 14 Раз, интервал 1,5, формулы маттипа, рисунки дублируются в отдельные jpeg-файлы 4) Статья должна быть структурирована по разделам (постановка задачи,..., выводы или заключение) 5) Список использованной литературы (оформлен по библиографическим правилам) 6 ) отрывок статьи (русский + английский) 7) Информация об авторах (русский + английский) 8) Сканирование экспертного заключения о возможности публикации документов (от вашей организации) 9) Публикуем в сотрудничестве аспирантов и магистрантов с супервайзерами. представитель-секретарь журнала Гаршина Вероника Викторовна Чт, 5 октября 2017 15:03:15 +0300 Медведитков Сергей Иванович <medsim@rambler.ru написал: Уважаемая редакция, добрый день! Пожалуйста, пришлите мне требования к товарам. Заранее спасибо. .;Запросы
RE: информация о САИТ для ВАК Информация о члене редколлегии - Махортове С.Д. new.docx Уважаемая Вероника Викторовна! Недавно я получил еще одну публикацию Scopus. Высылаю корректную информацию о члене редколлегии. С уважением, С.Д. Исходное сообщение от: Вестник ВГУ [mailto:csit@cs.vsu.ru] Отправлено: Пятница, 23 марта 2018 г., 17:50 Кому: sd@expert.vrn.ru Тема: информация о САИТ для Высшая аттестационная комиссия Уважаемые коллеги! Подтвердить в ВАК соответствие членов редакционной коллегии журнала «Вестник Воронежского государственного университета серии: Анализ информационных систем и технологий» группе специальностей, по которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в списке ВАК (перечень ведущих научных журналов и рецензируемых изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе специальностей. 13.05.00 Информатика, информационные технологии и менеджмент. В настоящее время мы уточняем перечень специальностей и отдельных научных направлений, по которым опубликованные в нашем журнале статьи будут рассматриваться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной активности по специальностям и научным направлениям, указанным в прикрепленном файле, по соответствующему шаблону. Необходимые специальные паспорта прилагаю. С уважением, представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;презентация статьи
RE: информация о САИТ для ВАК Информация о члене редколлегии - Махортове SDdocx Приложение... С уважением, С.Д. Исходное сообщение от: Вестник ВГУ [mailto:csit@cs.vsu.ru] Размещено: пятница, 23 марта 2018 г. 17:50 Кому: sd@expert.vrn.ru Тема: Информация о САИТ для ВАК Уважаемые коллеги! Подтвердить в ВАК соответствие членов редакционной коллегии журнала «Вестник Воронежского государственного университета серии: Анализ информационных систем и технологий» группе специальностей, по которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в списке ВАК (перечень ведущих научных журналов и рецензируемых изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе специальностей. 13.05.00 Информатика, информационные технологии и менеджмент. В настоящее время мы уточняем перечень специальностей и отдельных научных направлений, по которым опубликованные в нашем журнале статьи будут рассматриваться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной активности по специальностям и научным направлениям, указанным в прикрепленном файле, по соответствующему шаблону. Необходимые специальные паспорта прилагаю. С уважением, представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;презентация статьи
Тема: Информация о САИТ для ВАК Информация о члене редколлегии - Сирота А.А.docx С уважением, Сирота А. 23.03.2018 17:36, Вестник ВГУ пишет: Уважаемые коллеги! Подтвердить в ВАК соответствие членов редакционной коллегии журнала «Вестник Воронежского государственного университета серии: Анализ информационных систем и технологий» группе специальностей, по которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в списке ВАК (перечень ведущих научных журналов и рецензируемых изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе специальностей. 13.05.00 Информатика, информационные технологии и менеджмент. В настоящее время мы уточняем перечень специальностей и отдельных научных направлений, по которым опубликованные в нашем журнале статьи будут рассматриваться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной активности по специальностям и научным направлениям, указанным в прикрепленном файле, по соответствующему шаблону. Необходимые специальные паспорта прилагаю. С уважением, представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;другой
Тема: Информация о САИТ для ВАК http://www.spiiras.nw.ru/ru/stuff/sokolovborisvladimirovich.html С уважением, Сирота А. 23.03.2018 23.32, Вестник ВГУ пишет: Спасибо! Александр Анатольевич, вы ответили первым! В тексте, уважаемый (переделал письмо Леденевой:))) Вы уверены, что не входите в редколлегии других журналов? 1) Член редколлегии раздела «Информационный конфликт в спектре электромагнитных волн» журнала «Радиотехника» https://www.vsu.ru/ru/persons/?person=4652 2) Ученый Вестник БелГУ http://nv.bsu.edu. ru/nv/mag/02/editorialboard/ Пятница, 23 марта 2018 19:47:38 +0300 Александр Сирота <sir@cs.vsu.ru написал: С уважением, Сирота А. 23.03.2018 5:36 Первый министр Вестник ВГУ пишет: Уважаемые коллеги! Подтвердить в ВАК соответствие членов редакционной коллегии журнала «Вестник Воронежского государственного университета серии: Анализ информационных систем и технологий» группе специальностей, по которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в списке ВАК (перечень ведущих научных журналов и рецензируемых изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе специальностей. 13.05.00 Информатика, информационные технологии и менеджмент. В настоящее время мы уточняем перечень специальностей и отдельных научных направлений, по которым опубликованные в нашем журнале статьи будут рассматриваться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной активности по специальностям и научным направлениям, указанным в прикрепленном файле, по соответствующему шаблону. Необходимые специальные паспорта прилагаю. С уважением, представитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;другой
Статьи Здравствуйте. 12.03.2018 отправил Вам статьи, рекомендованные к публикации в журнале «Вестник ВГУ» по итогам работы секции «САПР и цифровые технологии» XVIII Международной конференции «Информатика: проблемы, методология, технологии». Вы получили материал? Нужны ли другие документы для публикации? С уважением, Гусев Павел.;презентация статьи
 Статья_Шубина_Васева Авторы_информация.docx, Чертежи_Шубина_Васева.rar, Статья_Шубина_Васева.docx Привет. Есть новости о возможности публикации статьи? Сообщение перенаправлено От: Елена Васева <esvaseva@mail.ru Кому: csit@cs.vsu.ru Дата: Суббота, 17 февраля 2018 г., 21:11 +17:00 Тема: статья_Шубина_Васева Здравствуйте. Высылаю статью и информацию об авторе. Буду признателен за информацию о том, как получить документы и возможность публикации. С уважением, Е.С. Васева. С уважением, Е.С. Васева.;Запросы
FW: Статья в бюллетене ВГУ, список предоставленных файлов.doc, рисунок 1. Структурный граф модели соседства процесса производства холоднокатаной стали.jpg, рисунок 2. Относительные ошибки моделирования для моделей легкого соседства, а не иерархических. jpg, Рисунок 3. Относительные ошибки моделирования иерархических ошибок fuzzy models.jpg, Sedykh_Article.doc Вероника! Это статья из Липецка. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru следить за исходным сообщением;презентация статьи
Re[2]: Статья в бюллетене ВГУ Здравствуйте! Мы отправили вам товар, хотелось бы узнать, дошёл ли он? С уважением, Екатерина Суббота, 10 марта 2018 г., 18:20 +15:00 от Екатерины Полицыной <kathrin.beaver@mail.ru: Здравствуйте! Расширенную версию статьи по итогам конференции мы представляем для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;Запросы
 Re[3]: Статья в бюллетене ВГУ Здравствуйте! Мы отправили вам товар, хотелось бы узнать, дошёл ли он? С уважением, Екатерина Суббота, 10 марта 2018, 18:20 +15:00 от Екатерины Полицыной <kathrin.beaver@mail.ru: Здравствуйте! Расширенную версию статьи по итогам конференции мы представляем для публикации в Вестнике ВГУ. Архив с электронной версией статьи прилагается. С уважением, Екатерина;Запросы
Вопрос по статье Здравствуйте, уважаемая редакция научного журнала «Вестник Воронежского государственного университета. Серия: Анализ информационных систем и технологий»! Отправил на рассмотрение статью «К ВОПРОСУ ОБРАБОТКИ ЭКСПЕРТНОЙ ИНФОРМАЦИИ ДЛЯ ВЫБОРА ПЕРСОНАЛИЗИРОВАННЫХ ФАКТОРОВ РИСКА». Скажите пожалуйста, есть ли по этому поводу результат? *Улыбнитесь миру, и мир улыбнется вам!!!* http://s17.rimg.info/fbbf4f12ce6989b...aa10c639be.gif <http://s17.rimg.info/fbbf4f12ce6989bc3391eeaa10c639be.gif <http: //www .avg .com/emailsignature?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail Вирусов нет. www.avg.com <http://www.avg.com/emailsignature?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail <#DAB4FAD82DD740BBA1B84E2AA1F9FDF2;Запросы
