text,category
 сведения саит вак информация члене редколлегиисирота аа docx vestnik vsu пишет уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей ,другое
 сведения саит вак vestnik vsu пишет спасибо александр анатольевич ответили первым в тексте уважаемая это переделывала письмо леденевой а точно редколлегиях др журналов состоите член редколлегии раздела «информационный конфликт спектре электромагнитных волн» журнала «радиотехника» научные ведомости белгу vestnik vsu пишет уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей ,другое
статьи здравствуйте направлял вам статьи рекомендованные публикации журнале вестник вгу итогам работы секции сапр цифровые технологии xviii международной конференции «информатика проблемы методология технологии» вами материалы получены требуются какиелибо документы публикации гусев павел,подача статьи
статья шубина васева авторы свед docx рисунки шубина васева rar статья шубина васева docx добрый день нет новостей возможности публикации статьи здравствуйте отправляю статью сведения авторах буду благодарна информацию получении файлов возможности публикации ,вопросы
 статья вестник вгу опись предоставленных файлов doc рисунок граф структуры окрестностной модели процесса производства холоднокатаной стали jpg рисунок относительные ошибки моделирования четких неиерархических окрестностных моделей jpg рисунок относительные ошибки моделирования нечетких иерархических моделей jpg седых статья doc вероника это статья липецка д ф м н проф шашкин александр иванович т оригинальное сообщение следует,подача статьи
 статья вестник вгу добрый день высылали статью хотелось уточнить дошла они екатерина добрый день высылаем расширенную версию статьи итогам конференции публикации вестнике вгу архив электронной версией статьи вложении екатерина,вопросы
 статья вестник вгу добрый день высылали статью хотелось уточнить дошла она екатерина добрый день высылаем расширенную версию статьи итогам конференции публикации вестнике вгу архив электронной версией статьи вложении екатерина,вопросы
вопрос статье здравствуйте уважаемая редакция научного журнала вестник воронежского государственного университета серия системный анализ информационные технологии я отправляла статью к вопросу обработки экспертной информации выбора персонифицированных факторов риска рассмотрение скажите пожалуйста какойнибудь результат улыбнись миру мир улыбнётся тебе без вирусов dabfadddbbabeaaffdf,вопросы
 статья сандлер и л комплект документов журнал вестник вгу серия системный анализ информационные технологии добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер уважаемый автор материалы статьи получены будут переданы рецензирование серия системный анализ информационные технологии добрый день уважаемая редакция я хочу подать статью журнал вестник вгу серия системный анализ информационные технологии раздел математические методы системного анализа управления в приложении архив котором содержится четыре файла опись статья рисунков илья сандлер илья сандлер илья сандлер,вопросы
 журнал вестник вгу серия системный анализ инф технологии согласие включении редколлегию docx pdf информация члене редколлегии docx здравствуйте вероника викторовна извините задержался документами долго ждал придут сегодня случайно обнаружил ваше письмо спаме высылаю то вы просили уважаемый юрий константинович приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ информационные технологии сирота александр анатольевич получил вас предварительное устное согласие просим заполнить документы согласие включении состав редколлегии прислать pdfфайл подписью информация научной деятельности прислать docфайл это сообщение проверено вирусы антивирусом avast ,другое
 сведения саит вак срочно информация члене редколлегиикретов а а docx теоретические основы информатикикретоваа doc уважаемая вероника викторовна по специальности кандидатов докторов если вписан консультантом и е ворониной что касается публикаций указал общее число затрудняюсь определить специальностям а кретов уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак ,другое
 статья сандлер и л комплект документов журнал вестник вгу серия системный анализ информационные технологии добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер уважаемый автор материалы статьи получены будут переданы рецензирование серия системный анализ информационные технологии добрый день уважаемая редакция я хочу подать статью журнал вестник вгу серия системный анализ информационные технологии раздел математические методы системного анализа управления в приложении архив котором содержится четыре файла опись статья рисунков илья сандлер илья сандлер илья сандлер илья сандлер,вопросы
 сведения саит вак информация члене редколлегииворонинаи е doc ой прикрепила апреля г пользователь irina voronina написал ну както уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip ,доработка
 журнал вестник вгу серия системный анализ инф технологии согласие включении редколлегию буховец pdf информация члене редколлегии буховец а г docx уважаемая вероника викторовна высылаю заполненные формы а буховец уважаемый алексей георгиевич приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ информационные технологии просим заполнить документы согласие включении состав редколлегии прислать pdfфайл подписью информация научной деятельности прислать docфайл викторовна алексей буховец,другое
 сведения саит вак срочно информация члене редколлегиишашкин а и docx уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак саит гаршина в в вероника переписал специальность иначе получается высылаю инфо себе про буренина пришлю вечером д ф м н проф шашкин александр иванович т ,другое
 сведения саит вак нет говорил если честно хотелось если сможешь давай без вирусов dabfadddbbabeaaffdf апреля г пользователь vestnik vsu написал получила про рецензента уберу это нужно есть момент сирота хочет вашу статью отрецензировать меня просил прислать не знаю почему вспомнил вы говорили я пока отсылала ой прикрепила апреля г пользователь irina voronina написал ну както уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip ,другое
