id,text
157,здравствуйте вероника викторовна извините задержался документами долго ждал придут сегодня случайно обнаружил ваше письмо спаме высылаю то вы просили уважаемый юрий константинович приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ информационные технологии сирота александр анатольевич получил вас предварительное устное согласие просим заполнить документы согласие включении состав редколлегии прислать pdfфайл подписью информация научной деятельности прислать docфайл это сообщение проверено вирусы антивирусом avast 
126,уважаемая вероника викторовна по специальности кандидатов докторов если вписан консультантом и е ворониной что касается публикаций указал общее число затрудняюсь определить специальностям а кретов уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак 
122,добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер добрый день уважаемая редакция не подскажете стадии статья илья сандлер уважаемый автор материалы статьи получены будут переданы рецензирование серия системный анализ информационные технологии добрый день уважаемая редакция я хочу подать статью журнал вестник вгу серия системный анализ информационные технологии раздел математические методы системного анализа управления в приложении архив котором содержится четыре файла опись статья рисунков илья сандлер илья сандлер илья сандлер илья сандлер
125,ой прикрепила апреля г пользователь irina voronina написал ну както уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip 
131,уважаемая вероника викторовна высылаю заполненные формы а буховец уважаемый алексей георгиевич приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ информационные технологии просим заполнить документы согласие включении состав редколлегии прислать pdfфайл подписью информация научной деятельности прислать docфайл викторовна алексей буховец
127,уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак саит гаршина в в вероника переписал специальность иначе получается высылаю инфо себе про буренина пришлю вечером д ф м н проф шашкин александр иванович т 
129,нет говорил если честно хотелось если сможешь давай без вирусов dabfadddbbabeaaffdf апреля г пользователь vestnik vsu написал получила про рецензента уберу это нужно есть момент сирота хочет вашу статью отрецензировать меня просил прислать не знаю почему вспомнил вы говорили я пока отсылала ой прикрепила апреля г пользователь irina voronina написал ну както уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip 
132,она лингвистике и очень проскочить вернее моей аспирантке иначе труба он очень сильно придирается времени толком это апреля г пользователь irina voronina написал нет говорил если честно хотелось если сможешь давай без вирусов m dabfadddbbabeaaffdf получила про рецензента уберу это нужно есть момент сирота хочет вашу статью отрецензировать меня просил прислать не знаю почему вспомнил вы говорили я пока отсылала ой прикрепила апреля г пользователь irina voronina написал ну както уважаемые коллеги для подтверждения вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ информационные технологии» группе специальностей которой заявлен журнал вестник вгу саит сейчас журнал перечене вак перечень ведущих рецензируемых научных журналов изданий которых должны опубликованы основные научные результаты диссертаций соискание ученых степеней доктора кандидата наук соответствует группе специальностей информатика вычислительная техника управление в настоящий момент идет уточнение списка отдельных специальностей областей науки которым статьи публикуемые нашем журнале будут учитываться ваком в связи этим просим вас представить информацию своей научной деятельности публикационной активности специальностям областям наук указанных прикрепленном файле вас соответствующему шаблону прикрепляю необходимые паспорта специальностей воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip воронина ирина евгеньевна email ip 
151, vestnik vsu пишет уважаемый николай николаевич приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ информационные технологии сирота александр анатольевич получил вас предварительное устное согласие просим заполнить документы согласие включении состав редколлегии прислать pdfфайл подписью информация научной деятельности прислать docфайл викторовна уважаемая вероника викторовна спасибо приглашение связи высылаю запоненные присланные вами образцы ps если затруднит сообщите принятии необходимых исправлениях 
137,уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак саит гаршина в в добрый вечер вчера весна факультета высыдаю инфо буренина д ф м н проф шашкин александр иванович т 
134,здравствуйте вероника викторовна вам пишет людмила кромина хотелось узнать вас информации рецензента нашей работе всего доброго людмила к уважаемые авторы статья разработка комплекса алгоритмов заказа литературы для вуза по объективным неформальным показателям в в миронов р а ярцев л а кромина получена редакцией находится рецензировании результаты сообщим здравствуйте вам пишет людмила кромина декабря отправляла вам статью разработка комплекса алгоритмов заказа литературы для вуза по объективным неформальным показателям есть какаялибо информация данной работе всего доброго 
138,здравствуйте высылаю требуемую информацию уважаемые коллеги прошу вас представить информацию своей научной деятельности публикационной активности группе специальностей в персональных предыдущих письмах указаны специальности области науки лично каждого члена редколлегии если письма получены вопросы пишите я должна буду выложить информацию сайт вака иначе журнал исключен перечня вак 
