id,text,subject,category
95,добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru пятница февраля от vestnik vsu cs it cs vsu ru уважаемый автор материалы статьи получены и будут переданы на рецензирование отв секретарь журнала гаршина вероника викторовна on thu feb илья сандлер sandleri bk ru wrote пересылаемое сообщение от кого илья сандлер sandleri bk ru кому cs it cs it cs vsu ru дата воскресенье февраля тема статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии добрый день уважаемая редакция я хочу подать статью в журнал вестник вгу серия системный анализ и информационные технологии в раздел математические методы системного анализа и управления в приложении архив к котором содержится четыре файла опись статья и рисунков с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru , статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии ,
101,добрый день высылаем расширенную версию статьи по итогам конференции для публикации в вестнике вгу архив с электронной версией статьи во вложении с уважением екатерина , статья в вестник вгу,
257, здравствуйте направляю вам статьи рекомендованные для публикации в журнале вестник вгу по итогам работы секции сапр и цифровые технологии xviii международной конференции «информатика проблемы методология технологии» в приложении к письму архивы со статьями рецензии заключение секции с уважением гусев павел ,статьи,
218, с уважением декан факультета пмм вгу д ф м н проф шашкин александр иванович т dean amm vsu ru оригинальное сообщение следует , статья для саит анализ влияния постоянных управляющих воздействий ,
96,здравствуйте пишет вам аспирант математического факультета вгу литвинов дмитрий я собираюсь отправить свою статью в журнал вестник вгу серия системный анализ и информационные технологии в связи с этим у меня есть несколько вопросов принимаете ли вы статьи аспирантов какие документы и прочие материалы я должен предоставить вместе со статьей в редакцию можно ли предоставить электронную версию статьи в формате tex как долго происходит процесс рецензирования в журнале заранее спасибо ,нет темы,
108,вероника викторовна добрый день к сожалению мы не успели вам отправить статью до конца февраля проинформируйте пожалуйста можем ли еще успеть опубликовать в апрельском номере будем очень признательны если будет такая возможность готовы оперативно учесть любые возможные замечания на всякий случай в прикрепленном файле статья на рассмотрение спасибо с уважением рубен агаджанян gmt vestnik vsu cs it cs vsu ru уважаемый автор до конца февраля проводится рецензирование статей в выход апрель присылайте материалы статьи рассмотрим бумажный вариант не нужен отв секретарь журнала гаршина вероника викторовна on wed feb ruben aghajanyan ruboo gmail com wrote уважаемая редакция я являюсь аспирантом ереванского государственного университета факультет информатики и прикладной математики хотел бы разместить свою научную статью в журнале вестник воронежского государственного университета проинформируйте пожалуйста когда ожидается ближайшая публикация на которую можно было бы разместить мою статью с учетом времени на просмотр и рецензию спасибо с уважением рубен агаджанян e mail ruboo gmail com mob a str r meliqyan yerevan ra , статья для публикации,
112, здравствуйте уважаемая редакция научного журнала вестник воронежского государственного университета серия системный анализ и информационные технологии просим рассмотреть нашу статью с целью её публикации в вашем журнале с уважением л н бакановская ,статья на публикацию,
118,добрый день уважаемая редакция журнала во вложении статья и опись прошу проверить на предмет соответствия требованиям к оформлению и допустить к рецензированию спасибо с уважением карина гутова моб тел ,статья гутова ,
104,с уважением копытин а в пересылаемое сообщение от кого алексей копытин alexkopytin gmail com дата марта г тема re рп кому olga donina olga donina mail ru спасибо с уважением копытин а в gmt olga donina olga donina mail ru с уважением best regards mit freundlichen grüßen донина ольга olga donina , рп,
155,привет вероника высылаю твои старые рабочие программы для ргф с уважением копытин а в ,рп,
102,вот у меня и вертелось в голове что то забыли может еще кто то был с уважением а сирота vestnik vsu пишет управляющий директор европейского исследовательского центра в области информационных систем ercis вестфальского уноверситета имени вильгель , таратухин,
106,еще можно семенова если у него место работы основное не у нас с уваженим а сиротаотправлено со смартфона samsung galaxy исходное сообщение от vestnik vsu cs it cs vsu ru дата gmt кому shashkin amm vsu ru algazinov sc vsu ru sir cs vsu ru тема таратухин совсем забыла что в декабре получили согласие от таратухина в в о включении его в состав редколлегии таратухин виктор владимирович профессор доктор философии кандидат технических наук директор по глобальному сотрудничеству академической инициативы next gen компании sap представитель компании в стэнфордском университете stanford university usa управляющий директор европейского исследовательского центра в области информационных систем ercis вестфальского уноверситета имени вильгельма г мюнстер германия ринц хирш с уважением гаршина в в , таратухин,
114,отправляю мою статью в вестник искренне проф в задорожний ,задорожний,
105,здравствуйте уважаемая редакция журнала вестник вгу я хочу опубликовать свою статью в вашем журнале но я не совсем понял исходя из информации на сайте принимаете ли вы статьи в электронном виде или только в отпечатанном с уважением минханов р ф ,публикация статьи,
203,здравствуйте отправляю вам статью литвинова д а поиск минимального ограничения для непрерывной функции управления ,нет темы,
121, добрый день прошу не учитывать статью так как она передана в другое издание по причине отсутствия ответа спасибо пересылаемое сообщение от кого карина гутова karina mail ru кому cs it cs vsu ru дата пятница марта тема статья гутова добрый день уважаемая редакция журнала во вложении статья и опись прошу проверить на предмет соответствия требованиям к оформлению и допустить к рецензированию спасибо с уважением карина гутова моб тел спасибо с уважением карина гутова моб тел , статья гутова ,
107, уважаемая вероника викторовна добрый день хотелось бы узнать участь статьи совершенствование процесса управления качеством продукции на предприятии с использованием информационных технологий медведицков с и кузьминов в в савончик д а с и пользователь сергей иванович медведицков medsim rambler ru написал уважаемая вероника викторовна добрый день с новым годом и рождеством христовым вас хотелось бы узнать участь моей статьи последний раз когда вы мне сообщали что она направлена на рецензирование но уже прошло месяца а информации никакой не поступило пользователь vestnik vsu cs it cs vsu ru написал уважаемый автор журнал вестник вгу серия системный анализ и информационные технологии выходит раза в год все статьи проходят рецензирование по результатам которого принимается к публикации отправляются на доработку с возможностью повторного рецензирования или отклоняются сейчас мы принимаем статьи на рецензирование для и правила для авторов и условия публикаций на сайте журнала http www vestnik vsu ru content analiz index ru asp материалы для публикации должны содержать удк название статьи рус англ текст статьи стр times интервал формулы mattype рисунки продублированы отдельными jpeg файлами статья должна быть структурирована по разделам постановка задачи выводы или заключение список литературы оформленный по библиографическим правилам аннотация к статье рус англ сведения об авторах рус англ скан акта экспертного заключения о возможности публикации материалов из вашей организации аспирантов магистров публикуем в соавторстве с руководителями отв секретарь журнала гаршина вероника викторовна on thu oct сергей иванович медведицков medsim rambler ru wrote уважаемая редакция добрый день прошу вас направить требования предъявляемые к статьям заранее благодарен ,просьба,
117,во вложении с уважением сд original message from vestnik vsu mailto cs it cs vsu ru sent friday march pm to sd expert vrn ru subject сведения о саит для вак уважаемые коллеги для подтверждения в вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ и информационные технологии» группе специальностей по которой заявлен журнал вестник вгу саит сейчас журнал в перечене вак перечень ведущих рецензируемых научных журналов и изданий в которых должны быть опубликованы основные научные результаты диссертаций на соискание ученых степеней доктора и кандидата наук соответствует группе специальностей информатика вычислительная техника и управление в настоящий момент идет уточнение списка отдельных специальностей и областей науки по которым статьи публикуемые в нашем журнале будут учитываться ваком в связи с этим просим вас представить информацию о своей научной деятельности и публикационной активности по специальностям и областям наук указанных в прикрепленном файле для вас по соответствующему шаблону прикрепляю необходимые паспорта специальностей с уважением отв секретарь журнала вестник вгу саит гаршина в в , сведения о саит для вак,
120,уважаемая вероника викторовна у меня на днях появилась еще одна публикация scopus высылаю скорректированную информацию о члене редколлегии с уважением сд original message from vestnik vsu mailto cs it cs vsu ru sent friday march pm to sd expert vrn ru subject сведения о саит для вак уважаемые коллеги для подтверждения в вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ и информационные технологии» группе специальностей по которой заявлен журнал вестник вгу саит сейчас журнал в перечене вак перечень ведущих рецензируемых научных журналов и изданий в которых должны быть опубликованы основные научные результаты диссертаций на соискание ученых степеней доктора и кандидата наук соответствует группе специальностей информатика вычислительная техника и управление в настоящий момент идет уточнение списка отдельных специальностей и областей науки по которым статьи публикуемые в нашем журнале будут учитываться ваком в связи с этим просим вас представить информацию о своей научной деятельности и публикационной активности по специальностям и областям наук указанных в прикрепленном файле для вас по соответствующему шаблону прикрепляю необходимые паспорта специальностей с уважением отв секретарь журнала вестник вгу саит гаршина в в , сведения о саит для вак,
111, с уважением а сирота vestnik vsu пишет уважаемые коллеги для подтверждения в вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ и информационные технологии» группе специальностей по которой заявлен журнал вестник вгу саит сейчас журнал в перечене вак перечень ведущих рецензируемых научных журналов и изданий в которых должны быть опубликованы основные научные результаты диссертаций на соискание ученых степеней доктора и кандидата наук соответствует группе специальностей информатика вычислительная техника и управление в настоящий момент идет уточнение списка отдельных специальностей и областей науки по которым статьи публикуемые в нашем журнале будут учитываться ваком в связи с этим просим вас представить информацию о своей научной деятельности и публикационной активности по специальностям и областям наук указанных в прикрепленном файле для вас по соответствующему шаблону прикрепляю необходимые паспорта специальностей с уважением отв секретарь журнала вестник вгу саит гаршина в в , сведения о саит для вак,
109,http www spiiras nw ru ru stuff sokolov boris vladimirovich html с уважением а сирота vestnik vsu пишет спасибо александр анатольевич вы ответили первым в тексте уважаемая это я переделывала письмо леденевой а вы точно в редколлегиях др журналов не состоите член редколлегии раздела «информационный конфликт в спектре электромагнитных волн» журнала «радиотехника» https www vsu ru ru persons person научные ведомости белгу http nv bsu edu ru nv mag editorial board on fri mar alexander sirota sir cs vsu ru wrote с уважением а сирота vestnik vsu пишет уважаемые коллеги для подтверждения в вак соответствия компетенции членов редколлегии журнала «вестник воронежского государственного университета серия системный анализ и информационные технологии» группе специальностей по которой заявлен журнал вестник вгу саит сейчас журнал в перечене вак перечень ведущих рецензируемых научных журналов и изданий в которых должны быть опубликованы основные научные результаты диссертаций на соискание ученых степеней доктора и кандидата наук соответствует группе специальностей информатика вычислительная техника и управление в настоящий момент идет уточнение списка отдельных специальностей и областей науки по которым статьи публикуемые в нашем журнале будут учитываться ваком в связи с этим просим вас представить информацию о своей научной деятельности и публикационной активности по специальностям и областям наук указанных в прикрепленном файле для вас по соответствующему шаблону прикрепляю необходимые паспорта специальностей с уважением отв секретарь журнала вестник вгу саит гаршина в в , сведения о саит для вак,
110,здравствуйте направлял вам статьи рекомендованные для публикации в журнале вестник вгу по итогам работы секции сапр и цифровые технологии xviii международной конференции «информатика проблемы методология технологии» вами материалы были получены требуются какие либо еще документы для публикации с уважением гусев павел ,статьи,
165,добрый день нет новостей о возможности публикации статьи пересылаемое сообщение от кого елена васева e s vaseva mail ru кому cs it cs vsu ru дата суббота февраля тема статья шубина васева здравствуйте отправляю статью и сведения об авторах буду благодарна за информацию о получении файлов и о возможности публикации с уважением е с васева с уважением е с васева , статья шубина васева,
145,вероника это статья из липецка с уважением декан факультета пмм вгу д ф м н проф шашкин александр иванович т dean amm vsu ru оригинальное сообщение следует , статья в вестник вгу,
113,добрый день высылали статью хотелось бы уточнить дошла ли они с уважением екатерина суббота марта от екатерина полицына kathrin beaver mail ru добрый день высылаем расширенную версию статьи по итогам конференции для публикации в вестнике вгу архив с электронной версией статьи во вложении с уважением екатерина , статья в вестник вгу,
115,добрый день высылали статью хотелось бы уточнить дошла ли она с уважением екатерина суббота марта от екатерина полицына kathrin beaver mail ru добрый день высылаем расширенную версию статьи по итогам конференции для публикации в вестнике вгу архив с электронной версией статьи во вложении с уважением екатерина , статья в вестник вгу,
116, здравствуйте уважаемая редакция научного журнала вестник воронежского государственного университета серия системный анализ и информационные технологии я отправляла статью к вопросу обработки экспертной информации выбора персонифицированных факторов риска на рассмотрение скажите пожалуйста есть ли по ней какой нибудь результат улыбнись миру и мир улыбнётся тебе http s rimg info fbbffceb aacbe gif http s rimg info fbbffcebceeaacbe gif http www avg com email signature utm medium email utm source link utm campaign sig email utm content webmail без вирусов www avg com http www avg com email signature utm medium email utm source link utm campaign sig email utm content webmail dabfad dd bb ab eaaffdf ,вопрос по статье,
119, добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru пересылаемое сообщение от кого илья сандлер sandleri bk ru кому vestnik vsu cs it cs vsu ru дата пятница марта тема re статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru пятница февраля от vestnik vsu cs it cs vsu ru уважаемый автор материалы статьи получены и будут переданы на рецензирование отв секретарь журнала гаршина вероника викторовна on thu feb илья сандлер sandleri bk ru wrote пересылаемое сообщение от кого илья сандлер sandleri bk ru кому cs it cs it cs vsu ru дата воскресенье февраля тема статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии добрый день уважаемая редакция я хочу подать статью в журнал вестник вгу серия системный анализ и информационные технологии в раздел математические методы системного анализа и управления в приложении архив к котором содержится четыре файла опись статья и рисунков с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru , re статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии ,
157,здравствуйте вероника викторовна извините что задержался с документами долго ждал когда они придут а сегодня случайно обнаружил ваше письмо в спаме высылаю то что вы просили с уважением язов ю к original message from vestnik vsu mailto cs it cs vsu ru sent thursday march pm to yazoff mail ru subject журнал вестник вгу серия системный анализ и инф технологии уважаемый юрий константинович приглашаем вас стать членом редакционной коллегии журнала вестник вгу серия системный анализ и информационные технологии http www vestnik vsu ru content analiz index ru asp сирота александр анатольевич получил от вас предварительное устное согласие просим заполнить документы согласие о включении в состав редколлегии прислать pdf файл с подписью информация о научной деятельности прислать doc файл с уважением отв секретарь журнала вестник вгу саит гаршина вероника викторовна это сообщение проверено на вирусы антивирусом avast https www avast com antivirus , журнал вестник вгу серия системный анализ и инф технологии,
126,уважаемая вероника викторовна по специальности у меня нет кандидатов и докторов если не был вписан консультантом к и е ворониной что касается публикаций то указал их общее число потому что затрудняюсь определить что у меня по специальностям а кретов original message from vestnik vsu mailto cs it cs vsu ru sent thursday march pm to algazinov sc vsu ru shashkin amm vsu ru ledeneva tm yandex ru artemov m a mail ru irina voronina gmail com zador amm vsu ru zsa cs vsu ru a a kretov rambler ru kurgalin bk ru mgmatveev ya ru nik tuykachev gmail com subject сведения о саит для вак срочно уважаемые коллеги прошу вас представить информацию о своей научной деятельности и публикационной активности до по группе специальностей в персональных предыдущих письмах указаны специальности области науки лично для каждого члена редколлегии если письма не были получены или есть вопросы пишите я должна буду выложить эту информацию на сайт вака до иначе журнал может быть исключен из перечня вак с уважением отв секретарь журнала вестник вгу саит гаршина в в , сведения о саит для вак срочно,
122,добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru вторник марта от илья сандлер sandleri bk ru добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru пересылаемое сообщение от кого илья сандлер sandleri bk ru кому vestnik vsu cs it cs vsu ru дата пятница марта тема re статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии добрый день уважаемая редакция не подскажете на какой стадии моя статья с уважением илья сандлер sandleri bk ru пятница февраля от vestnik vsu cs it cs vsu ru уважаемый автор материалы статьи получены и будут переданы на рецензирование отв секретарь журнала гаршина вероника викторовна on thu feb илья сандлер sandleri bk ru wrote пересылаемое сообщение от кого илья сандлер sandleri bk ru кому cs it cs it cs vsu ru дата воскресенье февраля тема статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии добрый день уважаемая редакция я хочу подать статью в журнал вестник вгу серия системный анализ и информационные технологии в раздел математические методы системного анализа и управления в приложении архив к котором содержится четыре файла опись статья и рисунков с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru с уважением илья сандлер sandleri bk ru , re статья сандлер и л комплект документов в журнал вестник вгу серия системный анализ и информационные технологии ,
